x pendolo,y pendolo,angolo,,"pivot x,y",592,52
794,516,0.410600079,,,,
749,541,0.310667264,,,,
700,561,0.209079913,,,,
654,569,0.119352654,,,,
604,575,0.022940526,,,,
549,574,-0.082189908,,,,
498,565,-0.181225476,,,,
451,548,-0.276967747,,,,
408,524,-0.37170895,,,,
365,498,-0.470796728,,,,
335,476,-0.544916184,,,,
314,457,-0.60155344,,,,
300,443,-0.641451931,,,,
289,432,-0.67313426,,,,
283,426,-0.690515551,,,,
284,427,-0.687614386,,,,
292,435,-0.66446843,,,,
304,448,-0.628796286,,,,
320,463,-0.584626139,,,,
343,483,-0.523880691,,,,
378,507,-0.439630875,,,,
422,533,-0.339727539,,,,
468,555,-0.241701521,,,,
516,568,-0.146235422,,,,
567,576,-0.047673773,,,,
621,574,0.055498505,,,,
672,569,0.153521294,,,,
714,556,0.237495173,,,,
760,536,0.334095606,,,,
802,511,0.429086908,,,,
834,488,0.506708945,,,,
856,472,0.561163412,,,,
874,458,0.607079975,,,,
887,444,0.645131764,,,,
894,436,0.666429113,,,,
894,436,0.666429113,,,,
888,443,0.647987212,,,,
876,456,0.612716672,,,,
858,471,0.565647469,,,,
837,486,0.513919681,,,,
806,509,0.437944051,,,,
764,533,0.343418989,,,,
719,554,0.24778896,,,,
675,568,0.15948658,,,,
627,574,0.066949601,,,,
573,576,-0.036243664,,,,
523,570,-0.132425078,,,,
475,558,-0.227231811,,,,
430,539,-0.321134412,,,,
388,513,-0.416613052,,,,
352,490,-0.501264265,,,,
328,471,-0.562237998,,,,
311,455,-0.608891716,,,,
299,443,-0.643091776,,,,
291,436,-0.664818092,,,,
289,434,-0.670576969,,,,
294,439,-0.65619494,,,,
304,448,-0.628796286,,,,
318,462,-0.589127462,,,,
339,480,-0.53386561,,,,
369,502,-0.460085736,,,,
410,526,-0.366608223,,,,
453,549,-0.272710151,,,,
498,564,-0.181571711,,,,
547,574,-0.085994291,,,,
599,576,0.013357984,,,,
648,571,0.107483972,,,,
691,564,0.191002266,,,,
737,548,0.284413352,,,,
780,525,0.378317398,,,,
817,502,0.463647609,,,,
842,482,0.526627271,,,,
861,469,0.572911519,,,,
875,456,0.611058135,,,,
885,446,0.639427812,,,,
888,443,0.647987212,,,,
884,447,0.636579395,,,,
874,457,0.60823593,,,,
859,470,0.568430159,,,,
840,484,0.521138143,,,,
813,505,0.453887493,,,,
775,528,0.367033048,,,,
730,550,0.270325346,,,,
686,565,0.181225476,,,,
643,571,0.097951425,,,,
593,576,0.001908395,,,,
542,573,-0.095676278,,,,
495,564,-0.187234073,,,,
450,549,-0.278299659,,,,
410,527,-0.365903545,,,,
371,503,-0.455633533,,,,
342,483,-0.525618516,,,,
322,466,-0.577901937,,,,
308,453,-0.616227743,,,,
300,445,-0.639007675,,,,
296,441,-0.650456807,,,,
299,444,-0.641866456,,,,
306,451,-0.621907074,,,,
318,463,-0.588002604,,,,
337,479,-0.538350538,,,,
363,498,-0.474351928,,,,
401,521,-0.386740253,,,,
442,545,-0.29536012,,,,
486,561,-0.205316933,,,,
533,572,-0.112978382,,,,
582,577,-0.019045316,,,,
631,574,0.074574093,,,,
677,568,0.16326248,,,,
719,554,0.24778896,,,,
